《日本、中國常用漢字對照表第七》
序號        日本常用漢字        大陸簡化漢字        臺灣正體漢字        香港正體漢字
1108        疎        疏        疏        疏
1109        訴        诉        訴        訴
1110        塑        塑        塑        塑
1111        礎        础        礎        礎
1112        双        双        雙        雙
1113        壮        壮        壯        壯
1114        早        早        早        早
1115        争        争        爭        爭
1116        走        走        走        走
1117        奏        奏        奏        奏
1118        相        相        相        相
1119        荘        庄        莊        莊
1120        草        草        草        草
1121        送        送        送        送
1122        倉        仓        倉        倉
1123        捜        搜        搜        搜
1124        挿        插        插        插
1125        桑        桑        桑        桑
1126        掃        扫        掃        掃
1127        曹        曹        曹        曹
1128        巣        巢        巢        巢
1129        窓        窗        窗        窗
1130        創        创        創        創
1131        喪        丧        喪        喪
1132        葬        葬        葬        葬
1133        装        装        裝        裝
1134        僧        僧        僧        僧
1135        想        想        想        想
1136        層        层        層        層
1137        総        总        總        總
1138        遭        遭        遭        遭
1139        槽        槽        槽        槽
1140        操        操        操        操
1141        燥        燥        燥        燥
1142        霜        霜        霜        霜
1143        騒        骚        騷        騷
1144        藻        藻        藻        藻
1145        造        造        造        造
1146        像        像        像        像
1147        増        增        增        增
1148        憎        憎        憎        憎
1149        蔵        藏        藏        藏
1150        贈        赠        贈        贈
1151        臓        脏        臟        臟
1152        即        即        即        即
1153        束        束        束        束
1154        足        足        足        足
1155        促        促        促        促
1156        則        则        則        則
1157        息        息        息        息
1158        速        速        速        速
1159        側        侧        側        側
1160        測        测        測        測
1161        俗        俗        俗        俗
1162        族        族        族        族
1163        属        属        屬        屬
1164        賊        贼        賊        賊
1165        続        续        續        續
1166        卒        卒        卒        卒
1167        率        率        率        率
1168        存        存        存        存
1169        村        村        村        村
1170        孫        孙        孫        孫
1171        尊        尊        尊        尊
1172        損        损        損        損
〔タ行〕        　        　        　        　
1173        他        他        他        他
1174        多        多        多        多
1175        打        打        打        打
1176        妥        妥        妥        妥
1177        堕        堕        墮        墮
1178        惰        惰        惰        惰
1179        駄        驮        馱        馱
1180        太        太        太        太
1181        対        对        對        對
1182        体        体        體        體
1183        耐        耐        耐        耐
1184        待        待        待        待
1185        怠        怠        怠        怠
1186        胎        胎        胎        胎
1187        退        退        退        退
1188        帯        带        帶        帶
1189        泰        泰        泰        泰
1190        袋        袋        袋        袋
1191        逮        逮        逮        逮
1192        替        替        替        替
1193        貸        贷        貸        貸
1194        隊        队        隊        隊
1195        滞        滞        滯        滯
1196        態        态        態        態
1197        大        大        大        大
1198        代        代        代        代
1199        台        台        台/臺        台/臺
1200        第        第        第        第
1201        題        题        題        題
1202        滝        泷        瀧        瀧
1203        宅        宅        宅        宅
1204        択        择        擇        擇
1205        沢        泽        澤        澤
1206        卓        卓        卓        卓
1207        拓        拓        拓        拓
1208        託        托        託        託
1209        濯        濯        濯        濯
1210        諾        诺        諾        諾
1211        濁        浊        濁        濁
1212        但        但        但        但
1213        達        达        達        達
1214        脱        脱        脫        脫
1215        奪        夺        奪        奪
1216        棚        棚        棚        棚
1217        丹        丹        丹        丹
1218        担        担        擔        擔
1219        単        单        單        單
1220        炭        炭        炭        炭
1221        胆        胆        膽        膽
1222        探        探        探        探
1223        淡        淡        淡        淡
1224        短        短        短        短
1225        嘆        叹        嘆        歎
1226        端        端        端        端
1227        誕        诞        誕        誕
1228        鍛        锻        鍛        鍛
1229        団        团        團        團
1230        男        男        男        男
1231        段        段        段        段
1232        断        断        斷        斷
1233        弾        弹        彈        彈
1234        暖        暖        暖        暖
1235        談        谈        談        談
1236        壇        坛        壇        壇
1237        地        地        地        地
1238        池        池        池        池
1239        知        知        知        知
1240        値        值        值        值
1241        恥        耻        恥        恥
1242        致        致        致        致
1243        遅        迟        遲        遲
1244        痴        痴        痴        痴
1245        稚        稚        稚        稚
1246        置        置        置        置
1247        竹        竹        竹        竹
1248        畜        畜        畜        畜
1249        逐        逐        逐        逐
1250        蓄        蓄        蓄        蓄
1251        築        筑        築        築
1252        秩        秩        秩        秩
1253        窒        窒        窒        窒
1254        茶        茶        茶        茶
1255        着        着        著        着
1256        嫡        嫡        嫡        嫡
1257        中        中        中        中
1258        仲        仲        仲        仲
1259        虫        虫        虫/蟲        虫/蟲
1260        沖        冲        沖        沖
1261        宙        宙        宙        宙
1262        忠        忠        忠        忠
1263        抽        抽        抽        抽
1264        注        注        注/註        注/註
1265        昼        昼        晝        晝
1266        柱        柱        柱        柱
1267        衷        衷        衷        衷
1268        鋳        铸        鑄        鑄
1269        駐        驻        駐        駐
1270        著        著        著        著
1271        貯        贮        貯        貯
1272        丁        丁        丁        丁
1273        弔        吊        弔        弔
1274        庁        厅        廳        廳
1275        兆        兆        兆        兆
1276        町        町        町        町
1277        長        长        長        長
1278        挑        挑        挑        挑
1279        帳        帐        帳        帳
1280        張        张        張        張
1281        彫        雕        彫        彫
1282        眺        眺        眺        朓
1283        釣        钓        釣        釣
1284        頂        顶        頂        頂
1285        鳥        鸟        鳥        鳥
1286        朝        朝        朝        朝
1287        脹        胀        脹        脹
1288        超        超        超        超
1289        腸        肠        腸        腸
1290        跳        跳        跳        跳
1291        徴        征/徵        徵        徵
1292        潮        潮        潮        潮
1293        澄        澄        澄        澄
1294        調        调        調        調
1295        聴        听        聽        聽
1296        懲        惩        懲        懲
1297        直        直        直        直
1298        勅        敕        敕        敕
1299        沈        沈        沈        沈
1300        珍        珍        珍        珍
1301        朕        朕        朕        朕
1302        陳        陈        陳        陳
1303        賃        赁        賃        賃
1304        鎮        镇        鎮        鎮
1305        追        追        追        追
1306        墜        坠        墜        墜
1307        通        通        通        通
1308        痛        痛        痛        痛
1309        塚        冢        塚        塚
1310        漬        渍        漬        漬
1311        坪        坪        坪        坪
1312        低        低        低        低
1313        呈        呈        呈        呈
1314        廷        廷        廷        廷
1315        弟        弟        弟        弟
1316        定        定        定        定
1317        底        底        底        底
1318        抵        抵        抵        抵
1319        邸        邸        邸        邸
1320        亭        亭        亭        亭
1321        貞        贞        貞        貞
1322        帝        帝        帝        帝
1323        訂        订        訂        訂
1324        庭        庭        庭        庭
1325        逓        递        遞        遞
1326        停        停        停        停
1327        偵        侦        偵        偵
1328        堤        堤        堤        堤
1329        提        提        提        提
1330        程        程        程        程
1331        艇        艇        艇        艇
1332        締        缔        締        締
1333        泥        泥        泥        泥
1334        的        的        的        的
1335        笛        笛        笛        笛
1336        摘        摘        摘        摘
1337        滴        滴        滴        滴
1338        適        适        適        適
1339        敵        敌        敵        敵
1340        迭        迭        迭        迭
1341        哲        哲        哲        哲
1342        鉄        铁        鐵        鐵
1343        徹        彻        徹        徹
1344        撤        撤        撤        撤
1345        天        天        天        天
1346        典        典        典        典
1347        店        店        店        店
1348        点        点        點        點
1349        展        展        展        展
1350        添        添        添        添
1351        転        转        轉        轉
1352        田        田        田        田
1353        伝        传        傳        傳
1354        殿        殿        殿        殿
1355        電        电        電        電
1356        斗        斗        斗        斗
1357        吐        吐        吐        吐
1358        徒        徒        徒        徒
1359        途        途        途        途
1360        都        都        都        都
1361        渡        渡        渡        渡
1362        塗        涂        塗        塗
1363        土        土        土        土
1364        奴        奴        奴        奴
1365        努        努        努        努
1366        度        度        度        度
1367        怒        怒        怒        怒
1368        刀        刀        刀        刀
1369        冬        冬        冬        冬
1370        灯        灯        燈        燈
1371        当        当        當        當
1372        投        投        投        投
1373        豆        豆        豆        豆
1374        東        东        東        東
1375        到        到        到        到
1376        逃        逃        逃        逃
1377        倒        倒        倒        倒
1378        凍        冻        凍        凍
1379        唐        唐        唐        唐
1380        島        岛        島        島
1381        桃        桃        桃        桃
1382        討        讨        討        討
1383        透        透        透        透
1384        党        党        黨/党        黨/党
1385        悼        悼        悼        悼
1386        盗        盗        盜        盜
1387        陶        陶        陶        陶
1388        塔        塔        塔        塔
1389        搭        搭        搭        搭
1390        棟        栋        棟        棟
1391        湯        汤        湯        湯
1392        痘        痘        痘        痘
1393        登        登        登        登
1394        答        答        答        答
1395        等        等        等        等
1396        筒        筒        筒        筒
1397        統        统        統        統
1398        稲        稻        稻        稻
1399        踏        踏        踏        踏
1400        糖        糖        糖        糖
1401        頭        头        頭        頭
1402        謄        誊        謄        謄
1403        闘        斗        鬥        鬥
1404        騰        腾        騰        騰
1405        同        同        同        同
1406        洞        洞        洞        洞
1407        胴        胴        胴        胴
1408        動        动        動        動
1409        堂        堂        堂        堂
1410        童        童        童        童
1411        道        道        道        道
1412        働        働        働        働
1413        銅        铜        銅        銅
1414        導        导        導        導
1415        峠        -        -        -
1416        匿        匿        匿        匿
1417        特        特        特        特
1418        得        得        得        得
1419        督        督        督        督
1420        徳        德        德        德
1421        篤        笃        篤        篤
1422        毒        毒        毒        毒
1423        独        独        獨        獨
1424        読        读        讀        讀
1425        凸        凸        凸        凸
1426        突        突        突        突
1427        届        届        屆        屆
1428        屯        屯        屯        屯
1429        豚        豚/猪        豚/豬        豚/豬
1430        鈍        钝        鈍        鈍
1431        曇        昙        曇        曇
〔ナ行〕        　        　        　        　
1432        内        内        內        內
1433        南        南        南        南
1434        軟        软        軟        軟
1435        難        难        難        難
1436        二        二        二        二
1437        尼        尼        尼        尼
1438        弐        贰        貳        貳
1439        肉        肉        肉        肉
1440        日        日        日        日
1441        入        入        入        入
1442        乳        乳        乳        乳
1443        尿        尿        尿        尿
1444        任        任        任        任
1445        妊        妊        妊        妊
1446        忍        忍        忍        忍
1447        認        认        認        認
1448        寧        宁        寧        寧
1449        熱        热        熱        熱
1450        年        年        年        年
1451        念        念        念        念
1452        粘        粘        黏        黏
1453        燃        燃        燃        燃
1454        悩        恼        惱        惱
1455        納        纳        納        納
1456        能        能        能        能
1457        脳        脑        腦        腦
1458        農        农        農        農
1459        濃        浓        濃        濃
〔ハ行〕        　        　        　        　
1460        把        把        把        把
1461        波        波        波        波
1462        派        派        派        派
1463        破        破        破        破
1464        覇        霸        霸        霸
1465        馬        马        馬        馬
1466        婆        婆        婆        婆
1467        拝        拜        拜        拜
1468        杯        杯        杯        杯
1469        背        背        背        背
1470        肺        肺        肺        肺
1471        俳        俳        俳        俳
1472        配        配        配        配
1473        排        排        排        排
1474        敗        败        敗        敗
1475        廃        废        廢        廢
1476        輩        辈        輩        輩
1477        売        卖        賣        賣
1478        倍        倍        倍        倍
1479        梅        梅        梅        梅
1480        培        培        培        培
1481        陪        陪        陪        陪
1482        媒        媒        媒        媒
1483        買        买        買        買
1484        賠        赔        賠        賠
1485        白        白        白        白
1486        伯        伯        伯        伯
1487        拍        拍        拍        拍
1488        泊        泊        泊        泊
1489        迫        迫        迫        迫
1490        舶        舶        舶        舶
1491        博        博        博        博
1492        薄        薄        薄        薄
1493        麦        麦        麥        麥
1494        漠        漠        漠        漠
1495        縛        缚        縛        縛
1496        爆        爆        爆        爆
1497        箱        箱        箱        箱
1498        畑        -        -        -
1499        肌        肌        肌        肌
1500        八        八        八        八
1501        鉢        钵        鉢        鉢
1502        発        发        發        發
1503        髪        发        髮        髮
1504        伐        伐        伐        伐
1505        抜        拔        拔        拔
1506        罰        罚        罰        罰
1507        閥        阀        閥        閥
1508        反        反        反        反
1509        半        半        半        半
1510        犯        犯        犯        犯
1511        帆        帆        帆        帆
1512        伴        伴        伴        伴
1513        判        判        判        判
1514        坂        坂        坂        坂
1515        板        板        板        板
1516        版        版        版        版
1517        班        班        班        班
1518        畔        畔        畔        畔
1519        般        般        般        般
1520        販        贩        販        販
1521        飯        饭        飯        飯
1522        搬        搬        搬        搬
1523        煩        烦        煩        煩
1524        頒        颁        頒        頒
1525        範        范        範        範
1526        繁        繁        繁        繁
1527        藩        藩        藩        藩
1528        晩        晚        晚        晚
1529        番        番        番        番
1530        蛮        蛮        蠻        蠻
1531        盤        盘        盤        盤
1532        比        比        比        比
1533        皮        皮        皮        皮
1534        妃        妃        妃        妃
1535        否        否        否        否
1536        批        批        批        批
1537        彼        彼        彼        彼
1538        披        披        披        披
1539        肥        肥        肥        肥
1540        非        非        非        非
1541        卑        卑        卑        卑
1542        飛        飞        飛        飛
1543        疲        疲        疲        疲
1544        秘        秘        祕        祕
1545        被        被        被        被
1546        悲        悲        悲        悲
1547        扉        扉        扉        扉
1548        費        费        費        費
1549        碑        碑        碑        碑
1550        罷        罢        罷        罷
1551        避        避        避        避
1552        尾        尾        尾        尾
1553        美        美        美        美
1554        備        备        備        備
1555        微        微        微        微
1556        鼻        鼻        鼻        鼻
1557        匹        匹        匹        匹
1558        必        必        必        必
1559        泌        泌        泌        泌
1560        筆        笔        筆        筆
1561        姫        姬        姬        姬
1562        百        百        百        百
1563        氷        冰        冰        冰
1564        表        表        表        表
1565        俵        俵        俵        俵
1566        票        票        票        票
1567        評        评        評        評
1568        漂        漂        漂        漂
1569        標        标        標        標
1570        苗        苗        苗        苗
1571        秒        秒        秒        秒
1572        病        病        病        病
1573        描        描        描        描
1574        猫        猫        貓        貓
1575        品        品        品        品
1576        浜        滨        濱        濱
1577        貧        贫        貧        貧
1578        賓        宾        賓        賓
1579        頻        频        頻        頻
1580        敏        敏        敏        敏
1581        瓶        瓶        瓶        瓶
1582        不        不        不        不
1583        夫        夫        夫        夫
1584        父        父        父        父
1585        付        付        付        付
1586        布        布        布        布
1587        扶        扶        扶        扶
1588        府        府        府        府
1589        怖        怖        怖        怖
1590        附        附        附        附
1591        負        负        負        負
1592        赴        赴        赴        赴
1593        浮        浮        浮        浮
1594        婦        妇        婦        婦
1595        符        符        符        符
1596        富        富        富        富
1597        普        普        普        普
1598        腐        腐        腐        腐
1599        敷        敷        敷        敷
1600        膚        肤        膚        膚
1601        賦        赋        賦        賦
1602        譜        谱        譜        譜
1603        侮        侮        侮        侮
1604        武        武        武        武
1605        部        部        部        部
1606        舞        舞        舞        舞
1607        封        封        封        封
1608        風        风        風        風
1609        伏        伏        伏        伏
1610        服        服        服        服
1611        副        副        副        副
1612        幅        幅        幅        幅
1613        復        复        復        復
1614        福        福        福        福
1615        腹        腹        腹        腹
1616        複        复        複        複
1617        覆        覆        覆        覆
1618        払        拂        拂        拂
1619        沸        沸        沸        沸
1620        仏        佛        佛        佛
1621        物        物        物        物
1622        粉        粉        粉        粉
1623        紛        纷        紛        紛
1624        雰        氛        氛        氛
1625        噴        喷        噴        噴
1626        墳        坟        墳        墳
1627        憤        愤        憤        憤
1628        奮        奋        奮        奮
1629        分        分        分        分
1630        文        文        文        文
1631        聞        闻        聞        聞
1632        丙        丙        丙        丙
1633        平        平        平        平
1634        兵        兵        兵        兵
1635        併        并        併        併
1636        並        并        並        並
1637        柄        柄        柄        柄
1638        陛        陛        陛        陛
1639        閉        闭        閉        閉
1640        塀        -        -        -
1641        幣        币        幣        幣
1642        弊        弊        弊        弊
1643        米        米        米        米
1644        壁        壁        壁        壁
1645        癖        癖        癖        癖
1646        別        别        別        別
1647        片        片        片        片
1648        辺        边        邊        邊
1649        返        返        返        返
1650        変        变        變        變
1651        偏        偏        偏        偏
1652        遍        遍        遍        遍
1653        編        编        編        編
1654        弁        弁        弁        弁
1655        便        便        便        便
1656        勉        勉        勉        勉
1657        歩        步        步        步
1658        保        保        保        保
1659        捕        捕        捕        捕
1660        浦        浦        浦        浦
1661        補        补        補        補
1662        舗        铺        鋪        鋪
1663        母        母        母        母
1664        募        募        募        募
1665        墓        墓        墓        墓
1666        慕        慕        慕        慕
1667        暮        暮        暮        暮
1668        簿        簿        簿        簿
1669        方        方        方        方
1670        包        包        包        包
1671        芳        芳        芳        芳
1672        邦        邦        邦        邦
1673        奉        奉        奉        奉
1674        宝        宝        寶        寶
1675        抱        抱        抱        抱
1676        放        放        放        放
1677        法        法        法        法
1678        泡        泡        泡        泡
1679        胞        胞        胞        胞
1680        俸        俸        俸        俸
1681        倣        仿        倣        倣
1682        峰        峰        峰        峯
1683        砲        炮        炮        砲
1684        崩        崩        崩        崩
1685        訪        访        訪        訪
1686        報        报        報        報
1687        豊        丰        豐        豐
1688        飽        饱        飽        飽
1689        褒        褒        褒        襃
1690        縫        缝        縫        縫
1691        亡        亡        亡        亡
1692        乏        乏        乏        乏
1693        忙        忙        忙        忙
1694        坊        坊        坊        坊
1695        妨        妨        妨        妨
1696        忘        忘        忘        忘
1697        防        防        防        防
1698        房        房        房        房
1699        肪        肪        肪        肪
1700        某        某        某        某
1701        冒        冒        冒        冒
1702        剖        剖        剖        剖
1703        紡        纺        紡        紡
1704        望        望        望        望
1705        傍        傍        傍        傍
1706        帽        帽        帽        帽
1707        棒        棒        棒        棒
1708        貿        贸        貿        貿
1709        暴        暴        暴        暴
1710        膨        膨        膨        膨
1711        謀        谋        謀        謀
1712        北        北        北        北
1713        木        木        木        木
1714        朴        朴        朴        朴
1715        牧        牧        牧        牧
1716        僕        仆        僕        僕
1717        墨        墨        墨        墨
1718        撲        扑        撲        撲
1719        没        没        沒        沒
1720        堀        堀        堀        堀
1721        本        本        本        本
1722        奔        奔        奔        奔
1723        翻        翻        翻        翻
1724        凡        凡        凡        凡
1725        盆        盆        盆        盆
〔マ行〕        　        　        　        　
1726        麻        麻        麻        麻
1727        摩        摩        摩        摩
1728        磨        磨        磨        磨
1729        魔        魔        魔        魔
1730        毎        每        每        每
1731        妹        妹        妹        妹
1732        枚        枚        枚        枚
1733        埋        埋        埋        埋
1734        幕        幕        幕        幕
1735        膜        膜        膜        膜
1736        又        又        又        又
1737        末        末        末        末
1738        抹        抹        抹        抹
1739        万        万        萬        萬
1740        満        满        滿        滿
1741        慢        慢        慢        慢
1742        漫        漫        漫        漫
1743        未        未        未        未
1744        味        味        味        味
1745        魅        魅        魅        魅
1746        岬        岬        岬        岬
1747        密        密        密        密
1748        脈        脉        脈        脈
1749        妙        妙        妙        妙
1750        民        民        民        民
1751        眠        眠        眠        眠
1752        矛        矛        矛        矛
1753        務        务        務        務
1754        無        无        無        無
1755        夢        梦        夢        夢
1756        霧        雾        霧        霧
1757        娘        娘        娘        娘
1758        名        名        名        名
1759        命        命        命        命
1760        明        明        明        明
1761        迷        迷        迷        迷
1762        盟        盟        盟        盟
1763        銘        铭        銘        銘
1764        鳴        鸣        鳴        鳴
1765        滅        灭        滅        滅
1766        免        免        免        免
1767        面        面        面        面
1768        綿        绵        綿        綿
1769        茂        茂        茂        茂
1770        模        模        模        模
1771        毛        毛        毛        毛
1772        妄        妄        妄        妄
1773        盲        盲        盲        盲
1774        耗        耗        耗        耗
1775        猛        猛        猛        猛
1776        網        网        網        網
1777        目        目        目        目
1778        黙        默        默        默
1779        門        门        門        門
1780        紋        纹        紋        紋
1781        問        问        問        問
1782        匁        -        -        -
〔ヤ行〕        　        　        　        　
1783        夜        夜        夜        夜
1784        野        野        野        野
1785        厄        厄        厄        厄
1786        役        役        役        役
1787        約        约        約        約
1788        訳        译        譯        譯
1789        薬        药        藥        藥
1790        躍        跃        躍        躍
1791        由        由        由        由
1792        油        油        油        油
1793        愉        愉        愉        愉
1794        諭        谕        諭        諭
1795        輸        输        輸        輸
1796        癒        愈        瘉        瘉
1797        唯        唯        唯        唯
1798        友        友        友        友
1799        有        有        有        有
1800        勇        勇        勇        勇
1801        幽        幽        幽        幽
1802        悠        悠        悠        悠
1803        郵        邮        郵        郵
1804        猶        犹        猶        猶
1805        裕        裕        裕        裕
1806        遊        游        遊        遊
1807        雄        雄        雄        雄
1808        誘        诱        誘        誘
1809        憂        忧        憂        誘
1810        融        融        融        融
1811        優        优        優        優
1812        与        与        與        與
1813        予        予/豫        予/豫        予/豫
1814        余        余        余/餘        余/餘
1815        誉        誉        譽        譽
1816        預        预        預        預
1817        幼        幼        幼        幼
1818        用        用        用        用
1819        羊        羊        羊        羊
1820        洋        洋        洋        洋
1821        要        要        要        要
1822        容        容        容        容
1823        庸        庸        庸        庸
1824        揚        扬        揚        揚
1825        揺        摇        搖        搖
1826        葉        叶        葉        葉
1827        陽        阳        陽        陽
1828        溶        溶        溶        溶
1829        腰        腰        腰        腰
1830        様        样        樣        樣
1831        踊        踊        踴        踴
1832        窯        窑        窯        窯
1833        養        养        養        養
1834        擁        拥        擁        擁
1835        謡        谣        謠        謠
1836        曜        曜        曜        曜
1837        抑        抑        抑        抑
1838        浴        浴        浴        浴
1839        欲        欲        欲        欲
1840        翌        翌        翌        翌
1841        翼        翼        翼        翼
〔ラ行〕        　        　        　        　
1842        裸        裸        裸        裸
1843        羅        罗        羅        羅
1844        来        来        來        來
1845        雷        雷        雷        雷
1846        頼        赖        賴        賴
1847        絡        络        絡        絡
1848        落        落        落        落
1849        酪        酪        酪        酪
1850        乱        乱        亂        亂
1851        卵        卵        卵        卵
1852        覧        览        覽        覽
1853        濫        滥        濫        濫
1854        欄        栏        欄        欄
1855        吏        吏        吏        吏
1856        利        利        利        利
1857        里        里        里        里
1858        理        理        理        理
1859        痢        痢        痢        痢
1860        裏        里        裡        裏
1861        履        履        履        履
1862        離        离        離        離
1863        陸        陆        陸        陸
1864        立        立        立        立
1865        律        律        律        律
1866        略        略        略        略
1867        柳        柳        柳        柳
1868        流        流        流        流
1869        留        留        留        留
1870        竜        龙        龍        龍
1871        粒        粒        粒        粒
1872        隆        隆        隆        隆
1873        硫        硫        硫        硫
1874        旅        旅        旅        旅
1875        虜        虏        虜        虜
1876        慮        虑        慮        慮
1877        了        了        了        了
1878        両        两        兩        兩
1879        良        良        良        良
1880        料        料        料        料
1881        涼        凉        涼        涼
1882        猟        猎        獵        獵
1883        陵        陵        陵        陵
1884        量        量        量        量
1885        僚        僚        僚        僚
1886        領        领        領        領
1887        寮        寮        寮        寮
1888        療        疗        療        療
1889        糧        粮        糧        糧
1890        力        力        力        力
1891        緑        绿        綠        綠
1892        林        林        林        林
1893        厘        厘        釐        釐
1894        倫        伦        倫        倫
1895        輪        轮        輪        輪
1896        隣        邻        鄰        鄰
1897        臨        临        臨        臨
1898        涙        泪        淚        淚
1899        累        累        累        累
1900        塁        垒        壘        壘
1901        類        类        類        類
1902        令        令        令        令
1903        礼        礼        禮        禮
1904        冷        冷        冷        冷
1905        励        励        勵        勵
1906        戻        戾        戾        戾
1907        例        例        例        例
1908        鈴        铃        鈴        鈴
1909        零        零        零        零
1910        霊        灵        靈        靈
1911        隷        隶        隸        隸
1912        齢        龄        齡        齡
1913        麗        丽        麗        麗
1914        暦        历        曆        曆
1915        歴        历        歷        歷
1916        列        列        列        列
1917        劣        劣        劣        劣
1918        烈        烈        烈        烈
1919        裂        裂        裂        裂
1920        恋        恋        戀        戀
1921        連        连        連        連
1922        廉        廉        廉        廉
1923        練        练        練        練
1924        錬        煉        鍊        鍊
1925        炉        炉        爐        爐
1926        路        路        路        路
1927        露        露        露        露
1928        老        老        老        老
1929        労        劳        勞        勞
1930        郎        郎        郎        郎
1931        朗        朗        朗        朗
1932        浪        浪        浪        浪
1933        廊        廊        廊        廊
1934        楼        楼        樓        樓
1935        漏        漏        漏        漏
1936        六        六        六        六
1937        録        录        錄        錄
1938        論        论        論        論
〔ワ行〕        　        　        　        　
1939        和        和        和        和
1940        話        话        話        話
1941        賄        贿        賄        賄
1942        惑        惑        惑        惑
1943        枠        -        -        -
1944        湾        湾        彎        彎
1945        腕        腕        腕        腕
